branch,rank,width,seed,validation_pressure_kpa,fit_converged,density_global_percent,u_ms_global_percent,v_ms_global_percent,temperature_k_global_percent,mach_global_percent,pressure_tecplot_global_percent
neural,6,8,690,20.0,False,5.460318164144527,16.902368971828068,19.4635241388014,4.477339439522876,15.598445785922072,7.261786403682353
neural,6,8,690,22.0,False,13.984226414857522,33.967285401571154,36.54826736523547,12.035732012435906,37.56089725246504,16.69648216964341
neural,6,8,690,23.0,False,4.7964954541722715,14.920362814515423,15.720728602492478,3.535883221410227,14.676967755614568,5.606651613089894
neural,6,8,690,24.0,False,7.202680689762808,15.076257357029546,18.235645528641257,4.800631959877978,17.38373496601747,8.072197643829861
neural,6,8,690,26.0,False,4.095176766258677,10.096566349005439,9.736581986429039,3.144950632441131,12.199294896538532,4.861979962891823
neural,6,8,690,27.0,False,2.9385829751501524,8.310231480995984,13.054596738293672,2.040621893264167,9.290127044245567,3.4024639655168207
neural,6,8,690,28.0,False,2.899992959444148,8.506032692065995,13.131173584390693,1.955634402719737,9.200139587508117,3.285032893249614
neural,6,8,690,29.0,False,1.309793295435932,3.663162308034837,5.685198722371964,0.7754062884537517,3.99816169214243,1.500216037061497
neural,6,8,691,18.0,True,4.5338525140695864,13.130986874830503,18.807846996254995,4.261847770064451,13.357351859794411,5.274782907406984
neural,6,8,691,19.0,True,1.1070976289479575,7.384048646382,12.930185991403029,1.1507618287933312,6.346930867182716,1.4870463709035986
neural,6,8,691,20.0,False,4.984877115105896,12.94244546660391,14.0619735217633,4.077636415551224,12.721299078570672,6.723826422663046
neural,6,8,691,22.0,False,14.156851646946892,34.03065178248341,36.32057052909895,12.004520753156147,37.60528852977916,16.85461727865397
neural,6,8,691,23.0,False,4.68309086094584,14.597662080061491,15.450066894553622,3.5244415131413733,14.360472811368554,5.584518641905137
neural,6,8,691,24.0,True,6.349759108749213,15.015121078936003,19.42221668939613,5.075568989214859,17.06669543679679,7.543565910954279
neural,6,8,691,26.0,False,4.082028504206871,10.190155349813665,10.07137390553022,3.197305784183176,12.2491890385359,4.885716346002847
neural,6,8,691,27.0,True,2.7285594483813984,8.452045052770869,13.518868341250414,2.042390742469008,9.262235998507714,3.226656838258979
neural,6,8,691,28.0,False,2.86238086278649,8.77424335125861,13.831057062682165,1.9774834740444545,9.37018594692526,3.2507940711607812
neural,6,8,691,29.0,False,1.3930178399823931,3.989381290808227,4.918035074099133,0.8149978251257609,4.18777186711655,1.666559490660301
neural,6,8,692,18.0,False,4.723227682527165,12.66514190932077,17.765492791877694,4.306565532539576,13.157577593520134,5.4490716792398555
neural,6,8,692,19.0,True,1.2437574602684986,6.600751213084181,12.153252180842408,1.1332212714130536,5.74126126203494,1.7071314877927541
neural,6,8,692,20.0,False,4.9490960430898925,14.252576881858861,16.361563136081845,4.027552454338328,13.796375987780825,6.395178138245947
neural,6,8,692,22.0,True,13.857519926418767,33.73546339429868,36.40515066390778,12.0732539479619,37.42338803625319,16.628214945188795
neural,6,8,692,23.0,False,5.320942137995141,14.773118502407879,16.030662547412895,3.547160994351607,14.966934158143436,5.9046012735499795
neural,6,8,692,24.0,False,6.2702343091093615,14.871566918148726,19.072908040058696,5.071608297728771,16.968583343711373,7.4724907058241845
neural,6,8,692,26.0,True,4.469239533233161,10.726744985452003,9.928497716334547,3.128218062131257,12.889550038461605,5.124742987192075
neural,6,8,692,27.0,False,2.693322502639564,7.91994943295677,12.372567959610544,1.9432012067519193,8.882756607457619,3.14013131503691
neural,6,8,692,28.0,False,2.8856373987347967,8.749455527608399,13.761701268171336,1.9855545315555434,9.362434268222932,3.282633014827375
neural,6,8,692,29.0,True,1.3568179541030052,3.750139741360254,6.05759443185444,0.7787933423649571,4.042331640803169,1.6300812678461958
neural,6,16,690,18.0,True,4.524135168889176,12.741707900045412,17.454809540353867,4.2448683348598175,13.107418900153517,5.27577845462852
