train_family,test_family,mode,model,seed,case,Re,parameters,epoch,training_seconds,inference_seconds,checkpoint_sha256,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,constant,direct,pod_deeponet,27,constant_test_0002,205.77449124508615,3704.0,248.0,0.3857941230016877,1.8881832753929e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.011583206614648647,0.020677693468388266,0.028432434074550542,8.503535298132192e-08,0.21368295147656508,0.0
constant,constant,direct,pod_deeponet,27,constant_test_0003,356.31307787809095,3704.0,248.0,0.3857941230016877,1.8881832753929e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.024167322222519026,0.03231703202030902,0.03817094467996312,7.044586425308808e-08,0.306611178171841,0.04166666666666674
constant,constant,direct,pod_deeponet,27,constant_test_0004,364.9641357923895,3704.0,248.0,0.3857941230016877,1.8881832753929e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.02928717180236948,0.03950274334785476,0.0459334108188594,6.460462032009673e-08,0.31196414733763433,0.04166666666666674
constant,constant,direct,pod_deeponet,27,constant_test_0005,326.11288015095056,3704.0,248.0,0.3857941230016877,1.8881832753929e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.009261185582289477,0.011537661240165814,0.016160156580660355,8.856163447035215e-08,0.2878182266020035,0.0
constant,diverse,direct,pod_deeponet,27,diverse_test_0000,378.39963682209583,3704.0,248.0,0.3857941230016877,1.4598666894016787e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.11092785597290403,0.19655799773821514,0.5989577269204157,8.356366265616089e-08,0.2425728594252655,0.05892556509887899
constant,diverse,direct,pod_deeponet,27,diverse_test_0001,275.5175743523432,3704.0,248.0,0.3857941230016877,1.4598666894016787e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.10687792849508707,0.12235628627788629,0.20790450425308873,8.414991725658183e-08,0.24097511975324593,0.04166666666666663
constant,diverse,direct,pod_deeponet,27,diverse_test_0002,205.77449124508615,3704.0,248.0,0.3857941230016877,1.4598666894016787e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.09385317895785533,0.11016877413007978,0.31180496253038026,8.604661871913777e-08,0.0980555054882163,0.0
constant,diverse,direct,pod_deeponet,27,diverse_test_0003,356.31307787809095,3704.0,248.0,0.3857941230016877,1.4598666894016787e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.16958756203705028,0.1834124234750543,0.2621738428505674,7.465849449772577e-08,0.18318799287812038,0.05892556509887899
constant,diverse,direct,pod_deeponet,27,diverse_test_0004,364.9641357923895,3704.0,248.0,0.3857941230016877,1.4598666894016787e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.5255195680129046,0.5234477051344884,0.5642916383650761,9.7662216091976e-08,0.32292882757881575,0.0931694990624912
constant,diverse,direct,pod_deeponet,27,diverse_test_0005,326.11288015095056,3704.0,248.0,0.3857941230016877,1.4598666894016787e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.2290312276296511,0.23404130023422431,0.33251622595585417,7.8983617868289e-08,0.2465660320739799,0.04166666666666663
constant,ood_shape,direct,pod_deeponet,27,ood_shape_0000,322.0476102060863,3704.0,248.0,0.3857941230016877,1.33400001989988e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.2168421868042514,0.2621428533273088,0.5783863842716931,8.249750038658021e-08,0.24730198501440656,0.04166666666666674
constant,ood_shape,direct,pod_deeponet,27,ood_shape_0001,236.44026808360903,3704.0,248.0,0.3857941230016877,1.33400001989988e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.8099426366847916,0.6988839372629236,0.8905784441507199,7.016893022182558e-08,0.2683136307490782,0.1767766952966369
constant,ood_shape,direct,pod_deeponet,27,ood_shape_0002,180.95100059158364,3704.0,248.0,0.3857941230016877,1.33400001989988e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.3614750128746126,0.4095790065649063,0.8199433940819858,8.014760055630177e-08,0.23430819176876613,0.04166666666666674
constant,ood_shape,direct,pod_deeponet,27,ood_shape_0003,208.6074759394159,3704.0,248.0,0.3857941230016877,1.33400001989988e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.4860509625639515,0.44484161065638117,0.627070202943519,7.590522699274516e-08,0.21843944708932447,0.0931694990624912
constant,ood_shape,direct,pod_deeponet,27,ood_shape_0004,374.64532673286527,3704.0,248.0,0.3857941230016877,1.33400001989988e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.7151439807150397,0.754190265803994,0.9123559472435983,7.051874462149499e-08,0.2924724714023271,0.1317615691736825
constant,ood_shape,direct,pod_deeponet,27,ood_shape_0005,145.49153445980784,3704.0,248.0,0.3857941230016877,1.33400001989988e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.19826087933829947,0.2777381940371303,0.6234311367536884,8.640938631288009e-08,0.281050088213306,0.04166666666666674
constant,ood_re,direct,pod_deeponet,27,ood_re_0000,566.4474875225259,3704.0,248.0,0.3857941230016877,1.852616696851328e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.1883544079147217,0.28714879066318816,0.4041219834559679,7.056178219499998e-08,0.3951337683757672,0.08333333333333337
constant,ood_re,direct,pod_deeponet,27,ood_re_0001,490.14181715065223,3704.0,248.0,0.3857941230016877,1.852616696851328e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.1248205073983832,0.19308264774692152,0.288471808276546,7.704714732881257e-08,0.3654262605212111,0.04166666666666663
constant,ood_re,direct,pod_deeponet,27,ood_re_0002,533.202596381457,3704.0,248.0,0.3857941230016877,1.852616696851328e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.21348923779090942,0.3016346246633825,0.39029864654383695,8.62788525068936e-08,0.31486155452506226,0.08333333333333337
constant,ood_re,direct,pod_deeponet,27,ood_re_0003,592.5167238454294,3704.0,248.0,0.3857941230016877,1.852616696851328e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.5404643645476659,0.6581094359721819,0.8390122550270543,7.910686150580659e-08,0.19099811865423547,0.1317615691736825
constant,ood_re,direct,pod_deeponet,27,ood_re_0004,489.1490754145391,3704.0,248.0,0.3857941230016877,1.852616696851328e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.19916807474543338,0.30985941725415167,0.6519711287674744,7.633604326429122e-08,0.2274831046420144,0.08333333333333337
constant,ood_re,direct,pod_deeponet,27,ood_re_0005,561.89866888648,3704.0,248.0,0.3857941230016877,1.852616696851328e-05,5bafaa5e242966644bf4f2f5e7977950f523589caa0b722b37b44e3312d48474,0.18512509356419785,0.3147427554059022,0.5891836608514895,7.01035176575715e-08,0.38565524961305264,0.08333333333333337
constant,constant,direct,unet,27,constant_test_0000,378.39963682209583,15013.0,298.0,5.546979888997157,0.0003905616661844154,16bf200ced324f8fddff8df604986b023049b2b915005d5e53e329ff74fdae52,0.044711924404722804,0.09652755956250497,0.5000369809524501,8.024319697597093e-08,0.3504471617089234,0.04166666666666674
