protocol,case,geometry,Re,model,nseed,velocity_mean,velocity_std,pressure_mean,pressure_std,reverse_iou_mean,reverse_area_bias_percent
diverse_family_v1,g012_Re50_medium,g012,50,FNO,3,15.581477483113607,1.1334950500692966,301.5848693847656,10.80350169999258,0.5840675967483335,-4.619624180879226
diverse_family_v1,g045_Re100_medium,g045,100,Geo,3,24.32625929514567,26.442000951179548,62.68427276611328,39.027780127546706,0.5655797888559654,-5.187011919441019
diverse_family_v1,g045_Re100_medium,g045,100,FNO,3,8.326686223347982,0.6955164351321387,166.64187622070312,8.371731913649674,0.8653682210673276,-0.7398273736128237
diverse_family_v1,g045_Re25_medium,g045,25,Geo,3,23.640455722808838,29.839194101901953,73.80934143066406,48.62012559121665,0.13565890610621534,-2.365392519523222
diverse_family_v1,g045_Re25_medium,g045,25,FNO,3,8.246026198069254,0.42692630088681094,298.9761047363281,8.076303858929746,0.7173488579502848,0.014385532264693792
diverse_family_v1,g045_Re50_medium,g045,50,Geo,3,23.71116304397583,29.169575811594832,94.6301867167155,63.10757136671132,0.41249472037189117,-3.6559802712700367
diverse_family_v1,g045_Re50_medium,g045,50,FNO,3,8.304426511128744,0.12919512763186686,339.8884785970052,11.460746707898682,0.8171380831609026,-0.17057131113851212
diverse_family_v1,g046_Re100_medium,g046,100,Geo,3,18.679376204808552,21.686273259390116,45.745524088541664,33.82565771262668,0.7489142651768362,-2.638024076380241
diverse_family_v1,g046_Re100_medium,g046,100,FNO,3,7.468544642130534,0.44264962484202947,151.68661499023438,8.722382928459007,0.8441544651608495,-0.30303030303030304
diverse_family_v1,g046_Re25_medium,g046,25,Geo,3,20.93674961725871,23.986280990453498,66.09392674763997,39.09302445910427,0.27885837782862954,-0.7243669572436696
diverse_family_v1,g046_Re25_medium,g046,25,FNO,3,7.823416074117024,0.36450067083139276,265.4275410970052,15.123646535730026,0.5807316869680584,-0.004151100041510998
