train_family,test_family,seed,case,psi_rel_l2,velocity_rel_l2,interior_vorticity_rel_l2,divergence_core_rms,lid_derivative_rmse,primary_vortex_location_error
constant,diverse,27,diverse_test_0002,0.11981352206779206,0.16671509849025273,0.24442013243276922,1.4206962578640395e-16,0.16726656939565576,0.04166666666666663
constant,diverse,27,diverse_test_0003,0.23701293019713482,0.30052326765053633,0.41384500382803907,1.366520983982143e-16,0.17694223847653842,0.058925565098878904
constant,diverse,27,diverse_test_0004,0.31381742639686744,0.46961254821713555,0.47288956355410106,1.135495737218171e-16,0.19775065466295697,0.08333333333333326
constant,diverse,27,diverse_test_0005,0.1794210337923063,0.25935816979168963,0.322877004507563,1.4887874290713071e-16,0.19120099704019913,0.08333333333333326
constant,diverse,ensemble,diverse_test_0000,0.10673017672301352,0.1716470289668848,0.27298277466420745,1.623878975394073e-16,0.17908583705762599,0.0
constant,diverse,ensemble,diverse_test_0001,0.03583473310794434,0.06387193041134961,0.1218477488641544,1.8032846533930832e-16,0.2041286560499357,0.04166666666666663
constant,diverse,ensemble,diverse_test_0002,0.07468536041194826,0.12373325034771199,0.2037856613858118,1.4750943689991754e-16,0.1809828468732916,0.0
constant,diverse,ensemble,diverse_test_0003,0.17960301787077923,0.24147126021450765,0.3264473871571281,1.6952580236871526e-16,0.18971852532268635,0.058925565098878904
constant,diverse,ensemble,diverse_test_0004,0.2510078675699055,0.3980834034345802,0.3831868575801928,1.2843719647816235e-16,0.20882769160222575,0.1317615691736825
constant,diverse,ensemble,diverse_test_0005,0.12376286845471017,0.19641710515875,0.23001134373260737,1.5306334564722407e-16,0.2031709971932547,0.04166666666666663
constant,ood_shape,7,ood_shape_0000,0.07217301987450611,0.13876422255483783,0.23422173794948364,1.225901940940059e-16,0.17279472543349175,0.058925565098878904
constant,ood_shape,7,ood_shape_0001,0.46457992434171447,0.6045896214658836,0.5287894134839113,1.1710281603440932e-16,0.15366643283004164,0.05892556509887899
constant,ood_shape,7,ood_shape_0002,0.16342053825004513,0.30680479542774425,0.5023815981530404,1.0473501251638236e-16,0.16477793257778356,0.08333333333333337
constant,ood_shape,7,ood_shape_0003,0.2674778275068722,0.3906184950982452,0.3876673279146105,1.0949206045946521e-16,0.17214271073867665,0.0
constant,ood_shape,7,ood_shape_0004,0.2937216457319954,0.4658496069975454,0.4330247022642058,9.907479377427923e-17,0.18143295384154748,0.1317615691736825
constant,ood_shape,7,ood_shape_0005,0.10649545006580848,0.21349009527711663,0.42823385358656807,1.2449088585668565e-16,0.18615123548607151,0.04166666666666674
constant,ood_shape,17,ood_shape_0000,0.05788568919536153,0.1178506117205645,0.24113577992984786,1.0731196320316329e-16,0.21411553654291618,0.0
constant,ood_shape,17,ood_shape_0001,0.4157362132661746,0.5794268494863316,0.5561350253609317,9.898631935391316e-17,0.19327434025142848,0.05892556509887899
constant,ood_shape,17,ood_shape_0002,0.17035124658926773,0.3315809837530749,0.6064315598615105,1.2375580970947254e-16,0.2052020337862635,0.08333333333333337
constant,ood_shape,17,ood_shape_0003,0.246852911900226,0.38240469780159997,0.4484472919590099,1.236880998475434e-16,0.21129881439179118,0.0
constant,ood_shape,17,ood_shape_0004,0.27234359208928727,0.4518327875808023,0.3977979327174289,8.566482897109439e-17,0.21922462787132532,0.125
constant,ood_shape,17,ood_shape_0005,0.1480622541901496,0.25688070772023724,0.5377154411205418,9.519713235663854e-17,0.22552348501395528,0.08333333333333337
constant,ood_shape,27,ood_shape_0000,0.12772690250679725,0.20246892097862454,0.31361856665009785,1.200013258974719e-16,0.17149683931029885,0.04166666666666663
constant,ood_shape,27,ood_shape_0001,0.5456283404116508,0.6922305367977191,0.6141207552028074,1.3492335988318803e-16,0.15245469771281434,0.04166666666666663
constant,ood_shape,27,ood_shape_0002,0.21827957001684545,0.37746782984275495,0.5841521708743778,1.1883404206651737e-16,0.1634822058612972,0.09316949906249125
constant,ood_shape,27,ood_shape_0003,0.32974978543356864,0.4669098068792218,0.47039893983020414,1.3387342435275601e-16,0.17143448994390792,0.04166666666666674
constant,ood_shape,27,ood_shape_0004,0.373257773453123,0.570273834775107,0.5329838544523846,8.841607965931197e-17,0.1811262967908975,0.125
constant,ood_shape,27,ood_shape_0005,0.13442014104251448,0.26575831891230167,0.4940858375380798,1.3600483017886594e-16,0.1853878721860357,0.08333333333333337
constant,ood_shape,ensemble,ood_shape_0000,0.07151953833199612,0.14125051512419448,0.23564303763893166,1.314072619834187e-16,0.184937934496586,0.04166666666666663
constant,ood_shape,ensemble,ood_shape_0001,0.47144101656366344,0.6213801164617642,0.5525659961352758,1.5994454554029144e-16,0.16502752382608957,0.05892556509887899
constant,ood_shape,ensemble,ood_shape_0002,0.17561947114786639,0.3321385135716497,0.5488378272895719,1.300871614686933e-16,0.1765196364859298,0.08333333333333337
constant,ood_shape,ensemble,ood_shape_0003,0.2759300793445419,0.40838524337284365,0.4191435693561352,1.3579408103965725e-16,0.18363147786952325,0.0
